country,gem_location_id,gem_plant_name,other_names,local_name,state_province,latitude,longitude,operating_mw,retired_mw,units_operating,units_retired,units_other_status,wiki_url
India,L100000102677,Kolaghat Thermal Power Station,,,West Bengal,22.416565,87.870984,840,420,4,2,0,https://www.gem.wiki/Kolaghat_Thermal_Power_Station
India,L100000102048,Komarada power station,,,Andhra Pradesh,18.89626,83.468899,,,0,0,4,https://www.gem.wiki/Komarada_power_station
India,L100000102411,Koradi Thermal Power Station,,,Maharashtra,21.2420685,79.0949659,2190,830,4,6,2,https://www.gem.wiki/Koradi_Thermal_Power_Station
India,L100000102155,Korba Essar power station,,,Chhattisgarh,22.35,82.683,,,0,0,1,https://www.gem.wiki/Korba_Essar_power_station
India,L100000102162,Korba Power Thermal Power Plant (Adani),,Lanco Amarkantak Thermal Power Project,Chhattisgarh,22.2454,82.7246,600,,2,0,4,https://www.gem.wiki/Lanco_Amarkantak_Thermal_Power_Project
India,L100000102156,Korba South Thermal Power Project,,,Chhattisgarh,22.367321,82.760328,,,0,0,2,https://www.gem.wiki/Korba_South_Thermal_Power_Project
India,L100000102157,Korba Super Thermal Power Station (NTPC),,Korba III power station (Unit 7) (Unit 7 (Korba III)),Chhattisgarh,22.3874221,82.6818961,2600,,7,0,0,https://www.gem.wiki/Korba_Super_Thermal_Power_Station_(NTPC)
India,L100000102158,Korba Thermal power station,,Korba East power station,Chhattisgarh,22.383369,82.719496,,440,0,6,0,https://www.gem.wiki/Korba_Thermal_power_station
India,L100000102529,Kota Complex power station,,,Rajasthan,25.128632,75.883521,125,,2,0,0,https://www.gem.wiki/Kota_Complex_power_station
India,L100000102530,Kota power station,,,Rajasthan,25.171014,75.816976,1240,,7,0,0,https://www.gem.wiki/Kota_power_station
India,L100000102597,Kotapally power station (SKIL Group),,,Telangana,18.9286,79.8176,,,0,0,1,https://www.gem.wiki/Kotapally_power_station_(SKIL_Group)
India,L100000102598,Kothagudem Thermal Power Station,,,Telangana,17.6219,80.69355,1800,720,4,8,0,https://www.gem.wiki/Kothagudem_Thermal_Power_Station
India,L100000102049,Krishnapatnam Navayuga thermal station,,,Andhra Pradesh,14.194444,80.091667,,,0,0,3,https://www.gem.wiki/Krishnapatnam_Navayuga_thermal_station
India,L100000102050,Krishnapatnam Ultra Mega Power Project,,,Andhra Pradesh,14.252061,80.120748,,,0,0,1,https://www.gem.wiki/Krishnapatnam_Ultra_Mega_Power_Project
